trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-03-03,318.25,316.0,328.0,47.0,-31.0
2003-04-01,283.0,286.25,309.5,101.0,27.5
2003-05-01,275.5,281.75,305.5,81.75,8.75
2003-06-02,318.75,326.25,317.0,71.25,-37.25
2003-07-01,306.25,314.5,326.0,4.5,-84.0
2003-08-01,351.0,363.0,332.0,-15.0,-142.0
2003-09-02,363.25,377.25,338.0,-20.5,-155.5
2003-10-01,364.25,374.25,353.5,-49.75,-169.0
2003-11-03,365.0,376.75,361.25,-55.0,-169.5
2003-12-01,395.75,408.75,384.5,-98.5,-221.5
2004-01-02,405.75,403.25,400.0,-97.75,-213.75
2004-02-02,385.0,391.5,400.0,-107.75,-212.5
2004-03-01,375.0,385.0,400.5,-70.5,-166.75
2004-04-01,410.5,416.75,421.0,-98.5,-208.0
2004-05-03,387.25,397.25,416.0,-101.5,-197.0
2004-06-01,388.25,397.25,399.5,-68.0,-179.75
2004-07-01,330.5,338.5,353.5,-29.25,-130.25
2004-08-02,317.0,330.75,355.0,-24.5,-112.75
2004-09-01,317.5,330.25,353.5,-46.75,-138.0
2004-10-01,303.75,316.0,341.0,7.75,-85.25
2004-11-01,306.25,319.0,343.0,-26.0,-121.0
2004-12-01,286.0,297.5,328.75,-23.25,-115.25
2005-01-03,302.25,309.25,337.5,8.5,-96.0
2005-02-01,292.25,300.75,326.0,13.25,-95.25
2005-03-01,330.0,338.25,362.0,0.75,-112.0
2005-04-01,322.5,333.0,353.0,-11.0,-128.25
2005-05-02,314.5,323.25,350.0,3.25,-111.5
2005-06-01,331.5,341.5,357.0,35.0,-92.75
2005-07-01,324.25,334.5,365.0,19.25,-99.25
2005-08-01,330.5,345.25,371.0,21.5,-104.75
2005-09-01,306.75,322.5,354.0,47.25,-78.25
2005-10-03,348.75,362.5,391.0,55.0,-78.0
2005-11-01,317.0,332.75,368.0,119.5,-8.0
2005-12-01,305.5,322.0,359.5,140.5,10.75
2006-01-03,346.0,355.5,388.5,88.0,-57.5
2006-02-01,339.25,350.25,391.0,69.25,-67.75
2006-03-01,362.75,374.0,415.0,53.0,-86.75
2006-04-03,342.0,355.0,402.5,25.5,-105.75
2006-05-01,353.25,365.0,419.0,69.5,-57.5
2006-06-01,392.0,408.0,453.25,67.5,-64.75
2006-07-03,384.25,402.0,451.25,118.25,-7.0
2006-08-01,392.5,413.25,451.0,185.0,55.25
2006-09-01,401.25,419.5,459.5,347.5,218.25
2006-10-02,446.0,463.0,480.0,472.5,338.75
2006-11-01,487.5,508.5,471.0,307.25,132.0
2006-12-01,500.0,520.75,508.0,347.0,195.25
2007-01-03,476.5,486.75,496.5,418.5,277.75
2007-02-01,460.25,474.5,511.0,432.0,324.75
2007-03-01,468.0,479.0,517.0,576.0,463.75
2007-04-02,428.0,442.0,480.0,415.0,307.25
2007-05-01,488.5,501.0,518.0,258.5,124.75
2007-06-01,520.75,535.5,523.5,259.0,97.5
2007-07-02,569.5,583.25,548.5,301.25,114.5
2007-08-01,636.0,656.0,559.0,235.0,-9.0
2007-09-04,807.0,805.5,622.0,122.25,-234.75
2007-10-01,952.5,960.5,702.5,-32.75,-478.75
2007-11-01,778.25,800.25,681.5,-119.5,-426.25
2007-12-03,855.0,876.75,769.5,-259.75,-553.75
2008-01-02,915.0,922.5,815.0,-204.0,-509.0
2008-02-01,943.0,960.5,902.0,-338.25,-589.5
2008-03-03,1093.0,1102.5,1036.0,-541.25,-804.0
2008-04-01,895.0,912.5,946.0,-420.5,-577.0
2008-05-01,776.5,790.0,847.0,-289.75,-422.0
2008-06-02,782.5,798.75,858.0,-183.5,-310.0
2008-07-01,849.75,864.75,929.75,-423.5,-555.75
2008-08-01,794.0,819.0,880.0,-330.75,-471.25
2008-09-02,744.25,766.75,834.25,-375.0,-514.5
2008-10-01,669.75,691.75,758.25,-305.5,-452.0
2008-11-03,562.0,582.5,649.75,-133.0,-278.0
2008-12-01,509.75,528.0,596.75,-34.25,-179.5
2009-01-02,611.0,623.75,687.5,-129.75,-288.75
2009-02-02,563.75,576.75,647.75,-173.0,-324.75
2009-03-02,494.75,506.0,581.5,-88.75,-239.5
2009-04-01,525.5,538.25,607.25,-152.5,-308.75
2009-05-01,557.25,570.0,643.0,-153.0,-306.25
2009-06-01,674.5,701.0,752.75,-302.0,-461.75
2009-07-01,506.25,535.5,601.0,-117.0,-251.25
2009-08-03,549.25,577.25,631.75,61.5,-71.5
2009-09-01,459.25,487.25,547.25,128.25,-1.5
2009-10-01,452.75,472.5,536.5,118.5,-20.75
2009-11-02,516.75,536.75,595.0,107.5,-51.0
2009-12-01,562.5,584.0,642.5,55.0,-121.75
2010-01-04,557.75,570.75,638.75,166.75,-30.0
2010-02-01,474.75,489.5,569.75,266.0,71.25
2010-03-01,492.75,504.5,578.5,197.25,-22.5
2010-04-01,454.75,468.5,553.75,205.75,-23.5
2010-05-03,490.0,501.75,585.5,174.25,-81.25
2010-06-01,450.75,468.25,562.25,197.0,-62.75
2010-07-01,484.0,499.75,577.0,7.5,-303.25
2010-08-02,693.25,723.5,744.0,-67.5,-432.5
2010-09-01,675.5,708.75,720.75,-5.25,-389.75
2010-10-01,655.0,688.5,728.0,-108.5,-477.5
2010-11-01,702.5,742.5,808.5,-178.5,-518.5
2010-12-01,697.5,740.0,812.25,-210.25,-537.25
2011-01-03,805.5,830.5,871.25,-214.25,-560.0
2011-02-01,835.75,866.25,930.0,-255.75,-567.0
2011-03-01,775.75,810.25,908.0,-248.75,-504.75
2011-04-01,759.5,796.0,894.0,-237.0,-461.0
2011-05-02,759.75,791.75,921.75,-288.0,-460.5
2011-06-01,759.25,809.25,902.0,-289.75,-458.75
2011-07-01,584.5,612.25,737.75,16.75,-110.25
2011-08-01,676.5,720.75,797.75,81.75,-67.5
2011-09-01,715.5,761.0,823.75,42.25,-90.0
2011-10-03,619.5,657.0,737.5,146.75,47.0
2011-11-01,630.0,665.75,749.5,119.0,46.5
2011-12-01,602.0,614.25,685.25,156.75,69.0
2012-01-03,657.0,676.0,739.5,15.75,-79.25
2012-02-01,674.25,687.5,739.75,25.25,-78.5
2012-03-01,659.25,664.0,719.75,-6.5,-110.25
2012-04-02,657.0,669.5,729.25,-65.25,-159.75
2012-05-01,633.75,643.0,711.0,-0.5,-82.5
2012-06-01,612.25,630.75,692.5,16.25,-64.0
2012-07-02,754.5,772.5,806.0,-160.25,-260.5
2012-08-01,879.5,893.75,842.5,-184.5,-364.5
2012-09-04,866.0,888.75,861.5,-225.0,-370.75
2012-10-01,884.25,896.0,865.5,-184.25,-332.25
2012-11-01,868.5,883.25,891.75,-224.0,-326.5
2012-12-03,842.0,860.75,884.25,-234.5,-315.25
2013-01-02,755.25,766.0,813.25,-216.25,-274.5
2013-02-01,765.0,773.25,816.25,-252.5,-313.5
2013-03-01,713.25,720.5,755.0,-128.25,-192.5
2013-04-01,664.0,669.0,712.5,-27.25,-82.25
2013-05-01,710.5,721.0,761.75,-63.0,-115.0
2013-06-03,708.75,718.5,764.75,-144.0,-189.25
2013-07-01,645.75,655.0,699.5,-139.75,-188.5
2013-08-01,658.0,670.5,689.0,-154.75,-229.75
2013-09-03,636.5,647.25,668.0,-124.5,-205.5
2013-10-01,681.25,689.5,691.25,-212.25,-315.5
2013-11-01,667.75,679.75,704.0,-165.75,-247.75
2013-12-02,649.75,661.75,681.0,-74.25,-161.75
2014-01-02,597.0,603.75,640.75,-59.5,-122.5
2014-02-03,563.75,565.75,600.0,-107.25,-176.5
2014-03-03,626.75,631.5,662.25,-154.25,-226.75
2014-04-01,685.25,690.0,720.75,-192.25,-252.0
2014-05-01,698.75,707.25,747.25,-277.25,-320.25
2014-06-02,620.75,631.75,685.5,-191.75,-214.0
2014-07-01,559.75,572.5,643.5,-56.0,-53.25
2014-08-01,534.25,553.25,607.5,-108.5,-104.5
2014-09-02,543.5,555.0,600.75,-116.75,-115.75
2014-10-01,479.0,492.25,537.5,-19.25,-7.75
2014-11-03,538.25,550.75,586.75,-78.75,-70.0
2014-12-01,606.75,606.75,632.75,-176.25,-181.5
2015-01-02,581.25,586.75,610.75,-152.5,-169.25
2015-02-02,492.75,497.25,530.0,-54.75,-64.5
2015-03-02,508.0,500.0,537.25,-98.75,-117.25
2015-04-01,528.5,529.5,573.75,-98.0,-116.0
2015-05-01,470.0,474.0,529.5,-52.5,-62.5
2015-06-01,493.75,498.75,541.0,-67.25,-96.25
2015-07-01,587.5,588.5,604.75,-188.5,-253.75
2015-08-03,499.0,505.0,527.5,-121.5,-188.5
2015-09-01,484.0,486.25,506.75,-138.5,-232.25
2015-10-01,518.25,524.25,549.0,-153.5,-263.5
2015-11-02,508.0,512.0,537.75,-123.5,-250.25
2015-12-01,456.5,471.5,512.25,-140.75,-254.75
2016-01-04,458.25,464.5,509.0,-102.5,-230.5
2016-02-01,475.25,480.5,517.75,-84.0,-225.5
2016-03-01,438.5,446.0,491.25,-55.75,-194.0
2016-04-01,475.75,483.0,528.5,-100.75,-253.0
2016-05-02,477.0,487.75,544.0,-101.25,-244.5
2016-06-01,473.75,485.0,538.75,-109.75,-257.5
2016-07-01,416.25,430.25,488.5,48.25,-95.5
2016-08-01,406.0,433.0,536.75,-75.5,-165.0
